,index,txn_date,province,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death,update_date
6,504,2021-04-07,ภูเก็ต,1,1,1,1,0,0,2022-01-19 07:23:51
7,582,2021-04-08,ภูเก็ต,3,4,3,4,0,0,2022-01-19 07:23:51
8,660,2021-04-09,ภูเก็ต,6,10,6,10,0,0,2022-01-19 07:23:51
9,738,2021-04-10,ภูเก็ต,4,14,4,14,0,0,2022-01-19 07:23:51
10,816,2021-04-11,ภูเก็ต,29,43,29,43,0,0,2022-01-19 07:23:51
11,894,2021-04-12,ภูเก็ต,16,59,16,59,0,0,2022-01-19 07:23:51
12,972,2021-04-13,ภูเก็ต,8,67,8,67,0,0,2022-01-19 07:23:51
13,1050,2021-04-14,ภูเก็ต,26,93,26,93,0,0,2022-01-19 07:23:51
14,1128,2021-04-15,ภูเก็ต,14,107,14,107,0,0,2022-01-19 07:23:51
15,1206,2021-04-16,ภูเก็ต,30,137,30,137,0,0,2022-01-19 07:23:51
16,1284,2021-04-17,ภูเก็ต,24,161,24,161,0,0,2022-01-19 07:23:51
17,1362,2021-04-18,ภูเก็ต,25,186,25,186,0,0,2022-01-19 07:23:51
18,1440,2021-04-19,ภูเก็ต,18,204,18,204,0,0,2022-01-19 07:23:51
19,1518,2021-04-20,ภูเก็ต,20,224,20,224,0,0,2022-01-19 07:23:51
20,1596,2021-04-21,ภูเก็ต,18,242,18,242,0,0,2022-01-19 07:23:51
21,1674,2021-04-22,ภูเก็ต,9,251,9,251,0,0,2022-01-19 07:23:51
22,1752,2021-04-23,ภูเก็ต,22,273,22,273,0,0,2022-01-19 07:23:51
23,1830,2021-04-24,ภูเก็ต,11,284,11,284,0,0,2022-01-19 07:23:51
24,1908,2021-04-25,ภูเก็ต,22,306,22,306,0,0,2022-01-19 07:23:51
25,1986,2021-04-26,ภูเก็ต,21,327,21,327,0,0,2022-01-19 07:23:51
26,2064,2021-04-27,ภูเก็ต,13,340,13,340,0,0,2022-01-19 07:23:51
27,2142,2021-04-28,ภูเก็ต,13,353,13,353,0,0,2022-01-19 07:23:51
28,2220,2021-04-29,ภูเก็ต,13,366,13,366,0,0,2022-01-19 07:23:51
29,2298,2021-04-30,ภูเก็ต,17,383,17,383,0,0,2022-01-19 07:23:51
30,2376,2021-05-01,ภูเก็ต,12,395,12,395,0,0,2022-01-19 07:23:51
31,2454,2021-05-02,ภูเก็ต,20,415,20,415,0,0,2022-01-19 07:23:51
32,2532,2021-05-03,ภูเก็ต,15,430,15,430,0,0,2022-01-19 07:23:51
33,2610,2021-05-04,ภูเก็ต,25,455,25,455,0,0,2022-01-19 07:23:51
34,2688,2021-05-05,ภูเก็ต,12,467,12,467,0,0,2022-01-19 07:23:51
35,2766,2021-05-06,ภูเก็ต,18,485,18,485,0,0,2022-01-19 07:23:51
36,2844,2021-05-07,ภูเก็ต,5,490,5,490,0,0,2022-01-19 07:23:51
37,2922,2021-05-08,ภูเก็ต,10,500,10,500,0,0,2022-01-19 07:23:51
38,3000,2021-05-09,ภูเก็ต,12,512,12,512,0,0,2022-01-19 07:23:51
39,3078,2021-05-10,ภูเก็ต,10,522,10,522,0,0,2022-01-19 07:23:51
40,3156,2021-05-11,ภูเก็ต,8,530,8,530,0,0,2022-01-19 07:23:51
41,3234,2021-05-12,ภูเก็ต,18,548,18,548,0,0,2022-01-19 07:23:51
42,3312,2021-05-13,ภูเก็ต,19,567,19,567,1,1,2022-01-19 07:23:51
43,3390,2021-05-14,ภูเก็ต,12,579,12,579,0,1,2022-01-19 07:23:51
44,3468,2021-05-15,ภูเก็ต,11,590,11,590,0,1,2022-01-19 07:23:51
45,3546,2021-05-16,ภูเก็ต,4,594,4,594,0,1,2022-01-19 07:23:51
46,3624,2021-05-17,ภูเก็ต,2,596,2,596,0,1,2022-01-19 07:23:51
47,3702,2021-05-18,ภูเก็ต,4,600,4,600,0,1,2022-01-19 07:23:51
48,3780,2021-05-19,ภูเก็ต,2,602,2,602,0,1,2022-01-19 07:23:51
50,3936,2021-05-21,ภูเก็ต,3,605,3,605,0,1,2022-01-19 07:23:51
51,4014,2021-05-22,ภูเก็ต,4,609,4,609,0,1,2022-01-19 07:23:51
52,4092,2021-05-23,ภูเก็ต,4,613,4,613,0,1,2022-01-19 07:23:51
53,4170,2021-05-24,ภูเก็ต,6,619,6,619,0,1,2022-01-19 07:23:51
54,4248,2021-05-25,ภูเก็ต,4,623,4,623,0,1,2022-01-19 07:23:51
55,4326,2021-05-26,ภูเก็ต,5,628,5,628,0,1,2022-01-19 07:23:51
56,4404,2021-05-27,ภูเก็ต,6,634,6,634,0,1,2022-01-19 07:23:51
57,4482,2021-05-28,ภูเก็ต,2,636,2,636,0,1,2022-01-19 07:23:51
58,4560,2021-05-29,ภูเก็ต,3,639,3,639,0,1,2022-01-19 07:23:51
59,4638,2021-05-30,ภูเก็ต,3,642,3,642,0,1,2022-01-19 07:23:51
60,4716,2021-05-31,ภูเก็ต,8,650,8,650,0,1,2022-01-19 07:23:51
61,4794,2021-06-01,ภูเก็ต,4,654,4,654,0,1,2022-01-19 07:23:51
62,4872,2021-06-02,ภูเก็ต,2,656,2,656,0,1,2022-01-19 07:23:51
63,4950,2021-06-03,ภูเก็ต,6,662,6,662,2,3,2022-01-19 07:23:51
64,5028,2021-06-04,ภูเก็ต,1,663,1,663,0,3,2022-01-19 07:23:51
65,5106,2021-06-05,ภูเก็ต,1,664,1,664,0,3,2022-01-19 07:23:51
66,5184,2021-06-06,ภูเก็ต,1,665,1,665,0,3,2022-01-19 07:23:51
67,5262,2021-06-07,ภูเก็ต,1,666,0,665,0,3,2022-01-19 07:23:51
68,5340,2021-06-08,ภูเก็ต,2,668,2,667,0,3,2022-01-19 07:23:51
69,5418,2021-06-09,ภูเก็ต,1,669,1,668,0,3,2022-01-19 07:23:51
71,5574,2021-06-11,ภูเก็ต,1,670,1,669,0,3,2022-01-19 07:23:51
75,5886,2021-06-15,ภูเก็ต,4,674,4,673,0,5,2022-01-19 07:23:51
76,5964,2021-06-16,ภูเก็ต,3,677,3,676,0,5,2022-01-19 07:23:51
77,6042,2021-06-17,ภูเก็ต,5,682,5,681,0,5,2022-01-19 07:23:51
78,6120,2021-06-18,ภูเก็ต,5,687,5,686,0,5,2022-01-19 07:23:51
79,6198,2021-06-19,ภูเก็ต,5,692,5,691,0,5,2022-01-19 07:23:51
80,6276,2021-06-20,ภูเก็ต,2,694,2,693,0,5,2022-01-19 07:23:51
81,6354,2021-06-21,ภูเก็ต,5,699,4,697,0,5,2022-01-19 07:23:51
82,6432,2021-06-22,ภูเก็ต,4,703,4,701,1,6,2022-01-19 07:23:51
83,6510,2021-06-23,ภูเก็ต,3,706,3,704,0,6,2022-01-19 07:23:51
84,6588,2021-06-24,ภูเก็ต,2,708,2,706,0,6,2022-01-19 07:23:51
85,6666,2021-06-25,ภูเก็ต,2,710,2,708,0,6,2022-01-19 07:23:51
86,6744,2021-06-26,ภูเก็ต,4,714,4,712,1,7,2022-01-19 07:23:51
87,6822,2021-06-27,ภูเก็ต,1,715,1,713,0,7,2022-01-19 07:23:51
89,6978,2021-06-29,ภูเก็ต,3,718,3,716,0,7,2022-01-19 07:23:51
90,7056,2021-06-30,ภูเก็ต,5,723,5,721,0,7,2022-01-19 07:23:51
91,7134,2021-07-01,ภูเก็ต,7,730,7,728,0,7,2022-01-19 07:23:51
92,7212,2021-07-02,ภูเก็ต,4,734,4,732,0,7,2022-01-19 07:23:51
93,7290,2021-07-03,ภูเก็ต,7,741,7,739,0,7,2022-01-19 07:23:51
94,7368,2021-07-04,ภูเก็ต,2,743,2,741,0,7,2022-01-19 07:23:51
95,7446,2021-07-05,ภูเก็ต,2,745,2,743,0,7,2022-01-19 07:23:51
96,7524,2021-07-06,ภูเก็ต,3,748,3,746,0,7,2022-01-19 07:23:51
97,7602,2021-07-07,ภูเก็ต,2,750,2,748,0,7,2022-01-19 07:23:51
98,7680,2021-07-08,ภูเก็ต,4,754,4,752,0,7,2022-01-19 07:23:51
99,7758,2021-07-09,ภูเก็ต,7,761,7,759,0,7,2022-01-19 07:23:51
100,7836,2021-07-10,ภูเก็ต,10,771,10,769,0,7,2022-01-19 07:23:51
101,7914,2021-07-11,ภูเก็ต,9,780,9,778,0,7,2022-01-19 07:23:51
102,7992,2021-07-12,ภูเก็ต,8,788,2,780,1,8,2022-01-19 07:23:51
103,8070,2021-07-13,ภูเก็ต,1,789,1,781,1,9,2022-01-19 07:23:51
104,8148,2021-07-14,ภูเก็ต,2,791,1,782,0,9,2022-01-19 07:23:51
105,8226,2021-07-15,ภูเก็ต,10,801,7,789,0,9,2022-01-19 07:23:51
106,8304,2021-07-16,ภูเก็ต,12,813,11,800,0,9,2022-01-19 07:23:51
107,8382,2021-07-17,ภูเก็ต,9,822,7,807,0,9,2022-01-19 07:23:51
108,8460,2021-07-18,ภูเก็ต,15,837,11,818,0,9,2022-01-19 07:23:51
109,8538,2021-07-19,ภูเก็ต,2,839,1,819,0,9,2022-01-19 07:23:51
110,8616,2021-07-20,ภูเก็ต,8,847,7,826,0,9,2022-01-19 07:23:51
111,8694,2021-07-21,ภูเก็ต,7,854,6,832,0,9,2022-01-19 07:23:51
112,8772,2021-07-22,ภูเก็ต,13,867,13,845,0,9,2022-01-19 07:23:51
113,8850,2021-07-23,ภูเก็ต,19,886,18,863,0,9,2022-01-19 07:23:51
114,8928,2021-07-24,ภูเก็ต,22,908,21,884,0,9,2022-01-19 07:23:51
115,9006,2021-07-25,ภูเก็ต,15,923,13,897,1,10,2022-01-19 07:23:51
