date,confirmed,death,recovered,new_case_excludeabroad,total_case,total_case_excludeabroad,total_death,total_recovered,update_date
2020-01-12,1,0,0,0,1,0,0,0,2022-06-30 7:26
2020-01-13,0,0,0,0,1,0,0,0,2022-06-29 18:09
2020-01-14,0,0,0,0,1,0,0,0,2022-06-29 18:09
2020-01-15,0,0,0,0,1,0,0,0,2022-06-29 18:09
2020-01-16,0,0,0,0,1,0,0,0,2022-06-29 18:09
2020-01-17,1,0,0,0,2,0,0,0,2022-06-30 7:26
2020-01-18,0,0,0,0,2,0,0,0,2022-06-29 18:09
2020-01-19,0,0,0,0,2,0,0,0,2022-06-29 18:09
2020-01-20,0,0,0,0,2,0,0,0,2022-06-29 18:09
2020-01-21,0,0,0,0,2,0,0,0,2022-06-29 18:09
2020-01-22,2,0,0,0,4,0,0,0,2022-06-30 7:26
2020-01-23,0,0,0,0,4,0,0,0,2022-06-29 18:09
2020-01-24,1,0,0,0,5,0,0,0,2022-06-30 7:26
2020-01-25,1,0,0,0,6,0,0,0,2022-06-30 7:26
2020-01-26,2,0,0,0,8,0,0,0,2022-06-30 7:26
2020-01-27,0,0,0,0,8,0,0,0,2022-06-29 18:09
2020-01-28,6,0,0,3,14,3,0,0,2022-06-30 7:26
2020-01-29,0,0,0,0,14,3,0,0,2022-06-29 18:09
2020-01-30,0,0,0,0,14,3,0,0,2022-06-29 18:09
2020-01-31,5,0,0,1,19,4,0,0,2022-06-30 7:26
2020-02-01,0,0,0,0,19,4,0,0,2022-06-29 18:09
2020-02-02,0,0,0,0,19,4,0,0,2022-06-29 18:09
2020-02-03,0,0,0,0,19,4,0,0,2022-06-29 18:09
2020-02-04,6,0,0,2,25,6,0,0,2022-06-30 7:26
2020-02-05,0,0,0,0,25,6,0,0,2022-06-29 18:09
2020-02-06,0,0,0,0,25,6,0,0,2022-06-29 18:09
2020-02-07,0,0,0,0,25,6,0,0,2022-06-29 18:09
2020-02-08,7,0,0,5,32,11,0,0,2022-06-30 7:26
2020-02-09,0,0,0,0,32,11,0,0,2022-06-29 18:09
2020-02-10,0,0,0,0,32,11,0,0,2022-06-29 18:09
2020-02-11,1,0,0,1,33,12,0,0,2022-06-30 7:26
2020-02-12,0,0,0,0,33,12,0,0,2022-06-29 18:09
2020-02-13,0,0,0,0,33,12,0,0,2022-06-29 18:09
2020-02-14,0,0,0,0,33,12,0,0,2022-06-29 18:09
2020-02-15,1,0,0,1,34,13,0,0,2022-06-30 7:26
2020-02-16,0,0,0,0,34,13,0,0,2022-06-29 18:09
2020-02-17,1,0,0,1,35,14,0,0,2022-06-30 7:26
2020-02-18,0,0,0,0,35,14,0,0,2022-06-29 18:09
2020-02-19,0,0,0,0,35,14,0,0,2022-06-29 18:09
2020-02-20,0,0,0,0,35,14,0,0,2022-06-29 18:09
2020-02-21,0,0,0,0,35,14,0,0,2022-06-29 18:09
2020-02-22,0,0,0,0,35,14,0,0,2022-06-29 18:09
2020-02-23,0,0,0,0,35,14,0,0,2022-06-29 18:09
2020-02-24,0,0,0,0,35,14,0,0,2022-06-29 18:09
2020-02-25,2,0,0,2,37,16,0,0,2022-06-30 7:26
2020-02-26,3,0,0,2,40,18,0,0,2022-06-30 7:26
2020-02-27,0,0,0,0,40,18,0,0,2022-06-29 18:09
2020-02-28,1,0,0,0,41,18,0,0,2022-06-30 7:26
2020-02-29,1,0,0,1,42,19,0,0,2022-06-30 7:26
2020-03-01,0,1,0,0,42,19,1,0,2022-06-29 18:09
2020-03-02,1,0,0,1,43,20,1,0,2022-06-30 7:26
2020-03-03,0,0,0,0,43,20,1,0,2022-06-29 18:09
2020-03-04,0,0,0,0,43,20,1,0,2022-06-29 18:09
2020-03-05,4,0,0,0,47,20,1,0,2022-06-30 7:26
2020-03-06,1,0,0,0,48,20,1,0,2022-06-30 7:26
2020-03-07,2,0,0,0,50,20,1,0,2022-06-30 7:26
2020-03-08,0,0,0,0,50,20,1,0,2022-06-29 18:09
2020-03-09,0,0,0,0,50,20,1,0,2022-06-29 18:09
2020-03-10,3,0,33,2,53,22,1,33,2022-06-30 7:26
2020-03-11,6,0,1,5,59,27,1,34,2022-06-30 7:26
2020-03-12,13,0,1,13,72,40,1,35,2022-06-30 7:26
2020-03-13,3,0,0,0,75,40,1,35,2022-06-30 7:26
2020-03-14,7,0,0,5,82,45,1,35,2022-06-30 7:26
2020-03-15,32,0,2,22,114,67,1,37,2022-06-30 7:26
2020-03-16,33,0,1,23,147,90,1,38,2022-06-30 7:26
2020-03-17,30,0,3,18,177,108,1,41,2022-06-30 7:26
2020-03-18,35,0,1,35,212,143,1,42,2022-06-30 7:26
2020-03-19,60,0,0,46,272,189,1,42,2022-06-30 7:26
2020-03-20,50,0,1,39,322,228,1,43,2022-06-30 7:26
2020-03-21,89,0,1,74,411,302,1,44,2022-06-30 7:26
2020-03-22,188,0,1,162,599,464,1,45,2022-06-30 7:26
2020-03-23,122,0,7,104,721,568,1,52,2022-06-30 7:26
2020-03-24,106,4,5,74,827,642,5,57,2022-06-30 7:26
2020-03-25,107,0,13,79,934,721,5,70,2022-06-30 7:26
2020-03-26,111,0,18,93,1045,814,5,88,2022-06-30 7:26
2020-03-27,91,0,9,74,1136,888,5,97,2022-06-30 7:26
2020-03-28,108,1,3,90,1244,978,6,100,2022-06-30 7:26
2020-03-29,141,1,11,121,1385,1099,7,111,2022-06-30 7:26
2020-03-30,138,2,16,117,1523,1216,9,127,2022-06-30 7:26
